Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 12-Sep-2026),Crossref citations (as of 12-Sep-2026),abstract,abstract_source,abstract_status
Early detection of vessel delays using combined historical and real-time information,"Heeyoung Kim, Sungil Kim, Yongro Park",Journal of the Operational Research Society,68.0,2,p182 - p191,2017,10.1057/s41274-016-0104-4,21-Dec-2017,https://doi.org/10.1057/s41274-016-0104-4,605.0,46.0,,,NOT_FOUND
The fitness and survival of the OR profession in the age of artificial intelligence,Richard Ormerod,Journal of the Operational Research Society,72.0,1,p4 - p22,2021,10.1080/01605682.2019.1650619,17-Feb-2020,https://doi.org/10.1080/01605682.2019.1650619,636.0,8.0,"How will AI affect OR practice? In OR we aspire to be logical, and therefore our behaviours should be relatively easy to replicate in logic, the basis of computer systems. We also pride ourselves on our attention to context, our project management skills, and our pragmatic approach. To think about the issues, we can turn to our experience of practicing OR and to the insights of mathematics, philosophy, sociology, and economics. Mathematicians and philosophers have widened the scope of logic to cover many aspects of decision-making; sociologists have conducted research into the social context and consequences of new technologies and economists have analysed their rates of penetration. Some OR jobs will be destroyed and others will be created giving rise to new, more varied career paths. The paper concludes that the centre of gravity of OR practice will move from analysis to those aspects difficult to computerise, the ‘residuals’. When AI does finally displace OR practitioners, it may come in the form of ‘AI strong enough for OR’, strong enough to satisfy potential OR clients in terms of efficacy and cost. The OR community needs to get involved more deeply in AI; it has the relevant expertise to do so.",SemanticScholar,FOUND
Delphi Assessment of Home-Based Digital Healthcare for Aging Patients: A Biopsychosocial Perspective,"Miguel Ángel Gandarillas, Nandu Goswami, Adolfo Muñoz-Carrero, Ricardo Sánchez-De-Madariaga",Clinical Interventions in Aging,20.0,,p1455 - p1470,2025,10.2147/cia.s525246,01-Sep-2025,https://doi.org/10.2147/cia.s525246,566.0,1.0,"Purpose The development of home-based clinical interventions and healthcare supported by digital tools has rapidly advanced in recent years, promising improvements in preventive and personalized treatment, especially for aging chronic patients. However, many systems are launched without feedback from healthcare experts, essential for understanding their strengths, limitations, and areas for improvement. This study had two objectives: first, to gather expert opinions on the qualities and limitations of current home-centred healthcare trends for aging patients; second, as a case study, to obtain feedback on a novel system, Time-Integrated Healthcare (TI-Health), integrating these trends. TI-Health uses real-time data to combine bio-psycho-social information through big data and machine learning, enabling health status prediction, diagnosis, prevention, and treatment. Participants and Methods A Delphi group of 60 experts from 9 countries, all with experience using digital health systems, was surveyed. A questionnaire was administered to the group focused on the limitations and qualities of current home-based digital healthcare trends. In addition, the Delphi group provided feedback on the TI-Health system. Results A majority of experts believed that personalized healthcare delivered in the patient’s home will shape the future of healthcare services. The Delphi group identified key qualities of these trends: improved service integration, enhanced patient comfort, cost reduction, and a deeper understanding of the patient’s context. They also highlighted challenges, such as barriers to inter-agency collaboration and data sharing, resistance to change among healthcare professionals, and the need for strong leadership to drive the adoption of new systems. Based on the insights from the Delphi group, this work presents a refined conceptualization of the TI-Health system. Conclusion Designing home-based clinical systems such as TI-Health should prioritize effective inter-agency coordination, ensuring data protection and fostering collaborative leadership throughout the implementation process. These factors are crucial to the successful adoption and utilization of new home-based digital health solutions.",SemanticScholar,FOUND
A new xG model for football analytics,"Maurizio Carpita, Mattia Cefis",Journal of the Operational Research Society,76.0,1,p1 - p13,2025,10.1080/01605682.2024.2323669,28-Feb-2024,https://doi.org/10.1080/01605682.2024.2323669,1084.0,14.0,"The aim of this exploratory study is to refine and improve, in terms of prediction performance, the expected goal (xG) model, one of the emerging tools in the field of football analytics. With this final goal, we merged data from different sources: tracking data, match event data and some players’ performance composite indicators. Using an original sample of match data relying on the 2019/2020 season of the Italian Serie A, composed of 660 shots, one outcome (i.e. the GOAL) and 22 regressors, a supervised machine learning approach (logistic regression model with imbalanced training sample adjustment) was applied to different scenarios for sample balanced techniques. Results are interesting in terms of sensitivity and F1 metrics, compared with a benchmark (Understat). Other results concerning the classic imbalance framework significantly outperform the benchmark in terms of the AUC metric. In addition, some performance composite indicators and one original tracking variable are significant for the classification model, contributing to increasing the goal prediction probability compared with the benchmark.",SemanticScholar,FOUND
The role of artificial intelligence in shaping the future of Agile fashion industry,"Shahriar Akter, Md Morsaline Billah, Dieu Hack-Polay, Mujahid Mohiuddin Babu, Mahfuzur Rahman",Production Planning & Control,35.0,15,p2084 - p2098,2024,10.1080/09537287.2022.2060858,26-Apr-2022,https://doi.org/10.1080/09537287.2022.2060858,7468.0,93.0,"Artificial intelligence (AI) has become an integral part of every industry. With the emergence of big data, the industries, and more especially textile and apparel (T&A) industry, are on the brink of relationships with consumers, suppliers, and competitors. They need to handle different scenarios with a multitude of complex correlations and dependencies between them and uncertainties arising from human interaction. It has become imperative for them to manage huge amounts of data for the optimization of decision-making processes. In such circumstances, AI techniques have shown promise in every segment of the T&A value chain, from product discovery to robotic manufacturing. The potential wide-ranging applications of AI in T&A industry have found their ways into design support systems to T&A recommendation systems, intelligent tracking systems, quality control, T&A forecasting, predictive analytics in supply chain management or social networks and T&A e-commerce. The research recourses to the qualitative method in the form of systematic literature review and in-depth interviews from senior management people and industry experts. Findings identify the dimensions of AI to develop dynamic capability along with its potential impact and probable challenges. As such, the findings contribute to relevant literature and offer useful insights for academia and practitioners.",SemanticScholar,FOUND
Flexibility management and decision making in cyber-physical systems utilizing digital lean principles with Brain-inspired computing pattern recognition in Industry 4.0,"Success L Babhare, Aditya D Dhepe, Prayag S Jadhav, Vaibhav Devidas Shevale, Praful P Ulhe, Yash S Warghane",International Journal of Computer Integrated Manufacturing,37.0,6,p708 - p725,2024,10.1080/0951192x.2023.2257633,11-Sep-2023,https://doi.org/10.1080/0951192x.2023.2257633,793.0,22.0,"Industry 4.0 and its accompanying Cyber-Physical Manufacturing Systems in digitized have recently made new approaches to optimising production operations in manufacturing. The objective of this article is to evaluate how digital lean principles can support Industry 4.0 in pursuit of reducing non-value-added tasks from production processes, flexibility management and decision-making process with machine learning techniques. This research study comes under three levels, such as data level, information level, and knowledge level. Initially, the data from the CNC machine are collected via a Wireless Sensor Network (WSN). The collected data are stored in the cloud platform where the unwanted wastes of 7 Muda are removed by using the Value Stream Mapping (VSM 4.0) tool. It is critical in the big data world to have a systematic method for gathering, managing, and analysing data to gain valuable insights from it. Predictive maintenance provides a detailed examination of the detection, location and diagnosis of faults in related types of machinery. Accordingly, Big Data Analytics empowers the lean principle technique of Total Productive Maintenance (TPM) is suggested for avoiding potential failures to predict maintenance by allowing KPIs to be calculated in real-time. This approach requires high-performance procedures and adaptable manufacturing systems in the current digitalized lean. The information is then processed in the knowledge layer, utilizing the algorithm, rule and lean knowledge bases. The flexibility of manufacturing firms is determined by the adaptability of their shop floor processes. To meet these requirements the article developed pull control techniques of capacity slack CONWIP (CSC) control in digital lean production systems to guide the CPS deployment to offer flexible production systems. Reliable software systems are hoped to facilitate data analysis and autonomous decision-making. Finally, in the decision-making process, the article proposed the Brain-Inspired Computing of Structural and Syntactic (BIC-SS) pattern recognition method. The performance analysis of these findings is simulated in MATLAB software. Simulation can be done with the identification of ideal Kanban parameters like cycle time, lead time, delivery frequency and lot size. Furthermore, lean manufacturing improves company quality and productivity by decreasing waste and production costs, as well as adapting well to the many innovative systems that encourage the culture of change and quality inside organizations.",SemanticScholar,FOUND
Knowledge backgrounds and additive manufacturing: moderating effects on part identification approaches and supply chain outcomes,"Jeppe Foshammer, Iñigo Flores Ituarte, Peder Veng Søberg",International Journal of Production Research,64.0,10,p3766 - p3786,2026,10.1080/00207543.2025.2584722,27-Nov-2025,https://doi.org/10.1080/00207543.2025.2584722,913.0,2.0,"This study investigates how knowledge backgrounds influence part identification in additive manufacturing (AM) decision-making. We examine the interplay between design- and supply chain-oriented expertise in shaping whether firms pursue AM-based redesign or 1:1 substitution. Using a multiple-case study approach, we conducted workshops in two defence-related organisations and one workshop beyond the defence sector, analysing how diverse knowledge backgrounds impact decision outcomes. The findings suggest that while diverse expertise fosters creative potential, effective facilitation is necessary to manage conflicting priorities. We introduce a structured decision framework to support AM part identification by balancing design feasibility and supply chain constraints. This study contributes to knowledge management (KM) in AM by demonstrating how absorptive capacity influences decision-making in AM adoption, with implications for organisations integrating AM into their supply chains.",SemanticScholar,FOUND
Resilient Framework for Managing a Pandemic in a Smart City,"Wala Abdalla, Gabriel Martinez Volquez, Vikram Patil, Suresh Renukappa, Redouane Sarrakh, Subashini Suresh, Tonny Veenith",Engineering Management Journal,37.0,5,p557 - p570,2025,10.1080/10429247.2025.2538369,11-Aug-2025,https://doi.org/10.1080/10429247.2025.2538369,1165.0,3.0,"Smart cities represent a substantial opportunity for city leaders and decision-makers to effectively manage the unprecedented challenges that the COVID-19 pandemic has presented, with the lessons learnt helping to prepare for any future outbreaks. This study is based on transition theory. It explores the three stages of transition, “before,” “during,” and “after” as a continuous loop as people move into the transition, through the transition, and out of the transition. This study explores how strategies and technologies have facilitated and enabled knowledge management during the COVID-19 pandemic, enhancing city resilience during the three periods (“before,” “during,” and “after”) of transition in smart city. The methodological approach for this study was a qualitative design. First, a systematic literature review was undertaken, followed by two focus groups with smart city leaders and key stakeholders. The findings were then validated via focused semi-structured interviews. The study proposed a “resilience framework for managing COVID-19 pandemic in smart cities.” The findings indicate that smart technologies have enabled the creation of a knowledge base of best and worst practices, lessons learned documents, patient case stories, smart technology use cases, policy documents, and performance reports.",SemanticScholar,FOUND
Combined peak price tracking strategies for online portfolio selection based on the meta-algorithm,"Jiahao Li, Hong Lin, Xingyu Yang, Yong Zhang",Journal of the Operational Research Society,75.0,10,p2032 - p2051,2024,10.1080/01605682.2023.2295975,06-Mar-2024,https://doi.org/10.1080/01605682.2023.2295975,249.0,3.0,"Machine learning algorithms have been widely used to establish online portfolio selection strategies. Meta-algorithm, one of the machine learning algorithms, has the advantage of combining different base expert algorithm, which can greatly reduce the risk of choosing wrong experts, especially in the case of the base expert algorithm being very sensitive to the expert selection. In this paper, we investigate the online portfolio selection problem using Online Gradient Update (OGU) and Online Newton Update (ONU) meta-algorithms to combine expert advice for price prediction, in order to avoid the prediction bias caused by using a single expert that uses a fixed parameter. In addition, we theoretically analyze the price prediction algorithms’ regret bounds, which can guarantee that the prediction algorithms perform as well as the optimal combined prediction algorithm in hindsight. More importantly, we establish an online portfolio optimization model based on the price estimator, and obtain the portfolio update formula via Lagrange method. Finally, extensive numerical experiments are conducted to test the performance of the proposed strategies in several real-world stock markets. The empirical results show that our strategies are competitive and efficient in the diverse financial environment.",SemanticScholar,FOUND
Automating data collection methods in electronic health record systems: a Social Determinant of Health (SDOH) viewpoint,"Kelsey Berg, Chelsea Doktorchik, Hude Quan, Vineet Saini",Health Systems,12.0,4,p472 - p480,2023,10.1080/20476965.2022.2075796,19-May-2022,https://doi.org/10.1080/20476965.2022.2075796,5998.0,19.0,"Social Determinant of Health (SDOH) data are important targets for research and innovation in Health Information Systems (HIS). The ways we envision SDOH in “smart” information systems will play a considerable role in shaping future population health landscapes. Current methods for data collection can capture wide ranges of SDOH factors, in standardised and non-standardised formats, from both primary and secondary sources. Advances in automating data linkage and text classification show particular promise for enhancing SDOH in HIS. One challenge is that social communication processes embedded in data collection are directly related to the inequalities that HIS attempt to measure and redress. To advance equity, it is imperative thatcare-providers, researchers, technicians, and administrators attend to power dynamics in HIS standards and practices. We recommend: 1. Investing in interdisciplinary and intersectoral knowledge generation and translation. 2. Developing novel methods for data discovery, linkage and analysis through participatory research. 3. Channelling information into upstream evidence-informed policy.",SemanticScholar,FOUND
"Real-time data exploitation supported by model- and event-driven architecture to enhance situation awareness, application to crisis management","Anne-Marie Barthe-Delanoë, Frédérick Bénaben, Audrey Fertier, Aurélie Montarnal, Sébastien Truptil",Enterprise Information Systems,14.0,6,p769 - p796,2020,10.1080/17517575.2019.1691268,29-Nov-2019,https://doi.org/10.1080/17517575.2019.1691268,554.0,12.0,"An effective crisis response requires up-to-date information. The crisis cell must reach for new, external, data sources. However, new data lead to new issues: their volume, veracity, variety or velocity cannot be managed by humans only, especially under high stress and time pressure. This paper proposes (i) a framework to enhance situation awareness while managing the 5Vs of Big Data, (ii) general principles to be followed and (iii) a new architecture implementing the proposed framework. The latter merges event-driven and model-driven architectures. It has been tested on a realistic flood scenario set up by official French services.",SemanticScholar,FOUND
OMIR: Ontology-Based Multimedia Information Retrieval System for Web Usage Mining,"K Muneeswaran, R Uma",Cybernetics and Systems,48.0,4,p393 - p414,2017,10.1080/01969722.2017.1285163,13-Mar-2017,https://doi.org/10.1080/01969722.2017.1285163,186.0,4.0,,,NOT_FOUND
Building supply-chain resilience: an artificial intelligence-based technique and decision-making framework,"Amine Belhadi, Samuel Fosso Wamba, Sachin Kamble, Maciel M Queiroz",International Journal of Production Research,60.0,14,p4487 - p4507,2022,10.1080/00207543.2021.1950935,13-Jul-2021,https://doi.org/10.1080/00207543.2021.1950935,17732.0,321.0,"Artificial Intelligence (AI) offers a promising solution for building and promoting more resilient supply chains. However, the literature is highly dispersed regarding the application of AI in supply-chain management. The literature to date lacks a decision-making framework for identifying and applying powerful AI techniques to build supply-chain resilience (SCRes), curbing advances in research and practice on this interesting interface. In this paper, we propose an integrated Multi-criteria decision-making (MCDM) technique powered by AI-based algorithms such as Fuzzy systems, Wavelet Neural Networks (WNN) and Evaluation based on Distance from Average Solution (EDAS) to identify patterns in AI techniques for developing different SCRes strategies. The analysis was informed by data collected from 479 manufacturing companies to determine the most significant AI applications used for SCRes. The findings show that fuzzy logic programming, machine learning big data, and agent-based systems are the most promising techniques used to promote SCRes strategies. The study findings support decision-makers by providing an integrated decision-making framework to guide practitioners in AI deployment for building SCRes.",SemanticScholar,FOUND
Getting along with frenemies: enhancing multi-competitor coopetition governance through artificial intelligence and blockchain,Jennifer L Woolley,Industry and Innovation,30.0,9,p1156 - p1189,2023,10.1080/13662716.2023.2168519,19-Jan-2023,https://doi.org/10.1080/13662716.2023.2168519,1472.0,20.0,"Collaborating with one competitor is difficult but collaborating with several competitors is a monumental challenge. However, multi-competitor coopetition, or cooperation between multiple competitors, is increasing. This study examines how recent advancements in artificial intelligence (AI) and blockchain can support multi-competitor coopetition by enhancing governance. Examining two coopetitive R&D consortia in pharmaceuticals and medical imaging, we find that a nascent form of AI called federated learning can address key coopetition concerns such proprietary and confidential data protection, knowledge leakage, data sovereignty and silos thereby maintaining organisational boundaries and autonomy. The use of federated learning and blockchain increases transparency and accountability, which reduces information asymmetries and power differential inequities. Together, these technologies decentralise governance and authority, reducing the tension between collective value creation and individual value appropriation inherent in coopetition, particularly those with multiple competitors. Finally, this study illustrates how emerging technologies challenge traditional assumptions about organisational boundaries, distributed innovation, and coopetition.",SemanticScholar,FOUND
Digitalising the Systematic Literature Review process: the MySLR platform,"Salvatore Ammirato, Vincenzo Corvello, Alberto M Felicetti, Roberto Linzalone, Daniele Rogano",Knowledge Management Research & Practice,21.0,4,p777 - p794,2023,10.1080/14778238.2022.2041375,27-Feb-2022,https://doi.org/10.1080/14778238.2022.2041375,3456.0,57.0,"The main contribution of this paper is the development of a digital platform to support researchers in conducting systematic literature reviews (SLRs). The digital platform is able to overcome limitations of other available tools to support, in particular, reviews in the organisation and management field of study. The name of this platform is MySLR. After analysing characteristics of main approaches for SLRs, we highlighted limitations of methods and digital platforms currently used to support researchers in SLRs thus we defined an original methodology for digitalising the SLR phases. The methodology, that can overcome limitations of other methods, has been implemented in the MySLR digital platform. To validate the correctness of the methodology and test the robustness of MySLR, a SLR use case has been carried out in the field of human resource management in the context of Industry 4.0. Main results of this SLR have been reported as well.",SemanticScholar,FOUND
Computational Target Fishing: What Should Chemogenomics Researchers Expect for the Future of in silico Drug Design and Discovery?,"Lirong Wang, Xiang-Qun Xie",Future Medicinal Chemistry,6.0,3,p247 - p249,2014,10.4155/fmc.14.5,28-Feb-2014,https://doi.org/10.4155/fmc.14.5,3317.0,48.0,"“Advances in cell signaling, chemical genomics and proteomics have provided new potential drug targets, whereas computational target fishing technologies increase our ability to efficiently and effectively screen against these targets in high-throughput formats.”",SemanticScholar,FOUND
The importance of information technology to organizational results within the Baldrige award,"Xianghui Peng, Victor Prybutok, Yuchen Wang",Quality Management Journal,29.0,1,p3 - p17,2022,10.1080/10686967.2021.2006584,03-Jan-2022,https://doi.org/10.1080/10686967.2021.2006584,595.0,8.0,"Information technology (IT) is considered as a key to business success by academia and industry. Notably, IT has evolved to an organization-level role that is far beyond previous technology supports and information storage functions; rather, it serves as a core analytics tool, combined with machine learning and artificial intelligence, to facilitate quality management (QM) and communication among business units. The authors derived their research model through literature and the Baldrige framework, and tested the hypothesized research model through partial least squares – structural equation modeling using cross-sectional survey data. This study investigates how IT integrates with QM practices to affect organizational performance. The results show that IT makes a considerable difference to the function of QM by interacting with business operations and leadership, resulting in improved organizational performance. The implications of the results bring IT and other business functions together and shape an ecosystem of IT-enabled organizational frameworks in the Big Data era.",SemanticScholar,FOUND
Design and development of automobile assembly model using federated artificial intelligence with smart contract,"S C Lenny Koh, Arunmozhi Manimuthu, Yangyan Shi, V Raja Sreedharan, V G Venkatesh",International Journal of Production Research,60.0,1,p111 - p135,2022,10.1080/00207543.2021.1988750,26-Oct-2021,https://doi.org/10.1080/00207543.2021.1988750,11829.0,72.0,"With smart sensors and embedded drivers, today’s automotive industry has taken a giant leap in emerging technologies like Machine learning, Artificial intelligence, and the Internet of things and started to build data-driven decision-making strategies to compete in global smart manufacturing. This paper proposes a novel design framework that uses Federated learning-Artificial intelligence (FAI) for decision-making and Smart Contract (SC) policies for process execution and control in a completely automated smart automobile manufacturing industry. The proposed design introduces a novel element called Trust Threshold Limit (TTL) that helps moderate the excess usage of embedded equipment, tools, energy, and cost functions, limiting wastages in the manufacturing processes. This research highlights the use cases of AI in decentralised Blockchain with smart contracts, the company’s trading policies, and its advantages for effectively handling market risk assessments during socio-economic crisis. The developed model supported by real-time cases incorporated cost functions, delivery time and energy evaluations. Results spotlight the use of FAI in decision accuracy for the developed smart contract-based Automobile Assembly Model (AAM), thereby qualitatively limiting the threshold level of cost, energy and other control functions in procurement assembly and manufacturing. Customisation and graphical user interface with cloud integration are some challenges of this model.",SemanticScholar,FOUND
Skills Expectations in Cybersecurity: Semantic Network Analysis of Job Advertisements,"C Matt Graham, Yonggang Lu",Journal of Computer Information Systems,63.0,4,p937 - p949,2023,10.1080/08874417.2022.2115954,09-Sep-2022,https://doi.org/10.1080/08874417.2022.2115954,1465.0,17.0,"Cybersecurity jobs are in demand around the country in response to the rapidly growing number of cyberattacks on businesses and government entities. While there is some consensus on core technical skills needed to fill these positions, many hiring employers are not aware of or deemphasize the importance of soft skills in these positions. Using a semantic network analysis of job advertisements, this study sought to answer two research questions: what are the most critical soft skills cybersecurity employers seek? And how are the soft skills related to the hard skills based on industry expectations? This study reports the analysis of 17,929 cybersecurity job advertisements. Our results found that three categories of soft skills emerged: Knowledge management and systems, big data analytical skills, and teamwork and diversity are all highly sought after. In addition, our study findings reinforce a critical role information system is playing in cyber security.",SemanticScholar,FOUND
"A review on three decades of manufacturing maintenance research: past, present and future directions","Simone Arena, Emmanuel Francalanza, Roberto Sala",Production & Manufacturing Research,13.0,1,,2025,10.1080/21693277.2025.2469037,20-Feb-2025,https://doi.org/10.1080/21693277.2025.2469037,4142.0,2.0,"Maintenance engineering has taken up more and more a strategic function in recent decades due to technological advancements and its role in asset productivity. Over time, a plethora of methods have been proposed, shifting from reactive approaches to complex, data-driven strategies focused on failure prediction (e.g. through Machine learning) and knowledge management (e.g. based on ontologies and large language models). The advancements achieved by maintenance have also beneficially impacted production quality, sustainability, and safety. This work presents the results of a systematic literature review of papers published on the topic of maintenance in the past 30 years. In particular, natural language processing has been used to analyze abstract, extract topics and, through further analysis delineate past, current, and future trends in the field of maintenance engineering in manufacturing. This work contributes to define a vision on how maintenance in manufacturing will evolve in the next future.",SemanticScholar,FOUND
Unpacking data analytics: rhetorical analysis,"Kirsi-Mari Kallio, Lauri Lepistö, Sinikka Lepistö",Technology Analysis & Strategic Management,35.0,8,p993 - p1004,2023,10.1080/09537325.2021.1990876,19-Oct-2021,https://doi.org/10.1080/09537325.2021.1990876,5018.0,3.0,"This study delves into the idea of data analytics and investigates the rhetoric through which its qualities are rendered accessible to people. It poses the following research question: How is data analytics and its relationship to organisations made attractive through rhetorical strategies? The analysis is based on 16 articles on data analytics published in the Harvard Business Review (HBR) from 2006 to 2020. Due to the analysis, two rhetorical strategies were identified: creativity and delegation. The findings suggested that contradictions prevail in the idea of data analytics. The creativity strategy underscores the illumination of possibilities in the application of data analytics, whereas the delegation strategy increasingly emphasises the need for organisational change, including the redistribution of work. In this study, we suggest that while data analytics can bring about various benefits, it can also create new uncertainties in an organisation. The contradictory features of data analytics may easily go unrecognised by practitioners.",SemanticScholar,FOUND
Resource deployment system implications of migrating the firm into a digital value creation paradigm,Göran Roos,Knowledge Management Research & Practice,16.0,3,p281 - p291,2018,10.1080/14778238.2018.1489358,10-Jul-2018,https://doi.org/10.1080/14778238.2018.1489358,285.0,7.0,"This article uses the intellectual capital-based view of the firm, to draw conclusions about both the change in relative importance of resources and the change in relative influence of transformations in the firm’s resource transformation system when introducing digital technologies. The methodology is a synthesis of research conducted on the implications of digital technologies for the firm’s value creation, through a review of the literature, combined with two case studies. The findings are that when introducing digital technologies, firms will migrate towards a value network logic. There will also be an increasing value creating influence of transformations into and out of the organisational resource category, and there will be an increase in the number of possible revenue streams that can be created. A clear practical implication for managers from this increased complexity is the need to simulate potential new resource deployment systems to verify their effectiveness before implementing them.",SemanticScholar,FOUND
Enhancing Product Manufacturing through Smart Virtual Product Development (SVPD) for Industry 4.0,"Muhammad Bilal Ahmed, Farhat Majeed, Cesar Sanin, Edward Szczerbicki",Cybernetics and Systems,51.0,2,p246 - p257,2020,10.1080/01969722.2019.1705544,20-Jan-2020,https://doi.org/10.1080/01969722.2019.1705544,361.0,12.0,"This paper proposes the Smart Virtual Product Development (SVPD) system, which enhances the industrial product manufacturing processes. The proposed system comprises of three main modules: design knowledge management (DKM), manufacturing capability analysis and process planning (MCAPP), and product inspection planning (PIP). Smart virtual product development system collects, stores, and uses experiential knowledge from formal decisional events in the form of set of experience (SOE). This research explains the working mechanism of MCAPP module, and shows how manufacturing knowledge of similar products having some common features and functions is used to enrich the manufacturing process. First, the basic description and principles of the approach are introduced, then the prototype version of the system is developed and tested for manufacturing capability and process planning (MCAPP) module for the case study, which verifies the feasibility of the proposed approach. The presented system successfully supports smart manufacturing, and can play a vital role in Industry 4.0.",SemanticScholar,FOUND
Philosophical foundations for informing the future(S) through IS research,"Mike Chiasson, Elizabeth Davidson, Jenifer Winter",European Journal of Information Systems,27.0,3,p367 - p379,2018,10.1080/0960085x.2018.1435232,01-Mar-2018,https://doi.org/10.1080/0960085x.2018.1435232,1985.0,31.0,,,NOT_FOUND
DMAIC 4.0 in Action: introducing MSA 4.0 and Poka Yoke 4.0,"Jiju Antony, Tim Komkowski, Jonas Neustock, Tanawadee Pongboonchai-Empl, Michael Sony, Dietmar Stemann",International Journal of Computer Integrated Manufacturing,,,p1 - p21,5187,10.1080/0951192x.2025.2599558,10-Dec-2025,https://doi.org/10.1080/0951192x.2025.2599558,2049.0,4.0,,,NOT_FOUND
"Operational research for sustainability: a synthesis of methods, applications and challenges",Adolf Acquaye,Journal of the Operational Research Society,77.0,1,p8 - p42,2026,10.1080/01605682.2025.2523362,29-Jun-2025,https://doi.org/10.1080/01605682.2025.2523362,4315.0,10.0,"This critical review explores the evolving role of Operational Research (OR) in addressing sustainability challenges. It synthesizes key OR methods including optimization, simulation, game theory, multi-criteria decision analysis, and system dynamics, highlighting their utility in managing the complex, multidimensional aspects of sustainable development. Tracing OR’s transition from military and industrial applications to its modern use in environmental management, resource allocation, and policymaking, the article underscores its value in scenario analysis, decision-making, and evaluating trade-offs across economic, environmental, and social dimensions. Drawing on case studies and systematic reviews, the study examines how OR techniques are applied in real-world sustainability contexts. It also investigates emerging trends such as hybrid modeling, integration with big data, and participatory decision frameworks that promote equity and inclusiveness. A critical assessment is made of existing limitations, including data constraints, stakeholder diversity, and methodological complexity. Unlike prior reviews, this article offers a holistic, interdisciplinary approach and proposes a forward-looking research agenda. This agenda centers on four thematic pillars: Methodological Enhancements, Holistic Integration, Stakeholder and Policy Engagement, and Broadening OR Applications. Each pillar is supported by Key Themes that shape objective-setting and the formulation of future research questions, aiming to expand OR’s contributions to sustainable development.",SemanticScholar,FOUND
The impact of chemoinformatics on drug discovery in the pharmaceutical industry,"Abraham Madariaga-Mazon, Gerald Maggiora, Karina Martinez-Mayorga, José L Medina-Franco",Expert Opinion on Drug Discovery,15.0,3,p293 - p306,2020,10.1080/17460441.2020.1696307,22-Jan-2020,https://doi.org/10.1080/17460441.2020.1696307,784.0,81.0,"Introduction: Even though there have been substantial advances in our understanding of biological systems, research in drug discovery is only just now beginning to utilize this type of information. The single-target paradigm, which exemplifies the reductionist approach, remains a mainstay of drug research today. A deeper view of the complexity involved in drug discovery is necessary to advance on this field. Areas covered: This perspective provides a summary of research areas where cheminformatics has played a key role in drug discovery, including of the available resources as well as a personal perspective of the challenges still faced in the field. Expert opinion: Although great strides have been made in the handling and analysis of biological and pharmacological data, more must be done to link the data to biological pathways. This is crucial if one is to understand how drugs modify disease phenotypes, although this will involve a shift from the single drug/single target paradigm that remains a mainstay of drug research. Moreover, such a shift would require an increased awareness of the role of physiology in the mechanism of drug action, which will require the introduction of new mathematical, computer, and biological methods for chemoinformaticians to be trained in.",SemanticScholar,FOUND
Theorising Algorithmic Justice,"Dubravka Cecez-Kecmanovic, Olivera Marjanovic, Richard Vidgen",European Journal of Information Systems,31.0,3,p269 - p287,2022,10.1080/0960085x.2021.1934130,21-Jun-2021,https://doi.org/10.1080/0960085x.2021.1934130,5216.0,50.0,"The mounting evidence of unintended harmful social consequences of automated algorithmic decision-making (AADM), powered by AI and big data, in transformative services (e.g., welfare services), is startling. The algorithmic harm experienced by individuals, communities and society-at-large involves new injustice claims and disputes that go beyond issues of social justice. Drawing from the theory of “abnormal justice” in this paper we articulate a new theory of algorithmic justice that addresses the questions: WHAT is the matter of algorithmic justice? WHO counts as a subject of algorithmic justice? HOW are algorithmic justices performed? and How to address and resolve disputes about the WHAT, WHO and HOW of algorithmic justice? We illustrate the theory of algorithmic justice by drawing from a case of AADM in social welfare services, widely adopted by governments around the world. Our research points to datafication, technological inscribing and the systemic nature of injustices as important IS-specific aspects of algorithmic justice. Our main practical contribution comes from the articulation of algorithmic justice as a framework that (1) makes visible the injustices related to the “what”, “who”, and “how” of AADM in transformative services, and (2) provides further insights into how we might address and resolve these algorithmic injustices.",SemanticScholar,FOUND
Establishing environment sustentation strategies for urban and rural/town tourism based on a hybrid MCDM approach,Chia-Li Lin,Current Issues in Tourism,23.0,19,p2360 - p2395,2020,10.1080/13683500.2019.1642308,20-Jul-2019,https://doi.org/10.1080/13683500.2019.1642308,1049.0,59.0,"The initial views of community empowerment were considered residents as the subject for construction in the city and town. Because the development of city and town also increased tourism, in recent years residents have been encouraged to remodel with new styles and features. This study tries to explore the driving forces for the development of urban and rural/town tourism. The findings will allow stakeholders (residents, tourists, sojourners, and government) to reexamine the future for the development of urban and rural tourism and to rediscover new value-driving forces by the urban and rural/town tourism development. This study defines an evaluation system of urban and rural tourism by four aspects: cultural preservation, environment sustentation, economic development, and social consciousness. This study adopts the integrated MCDM approach to evaluate the SDI (Sustainable Development Index) for urban and rural/town tourism based on the five tourist towns in northern Taiwan. The research findings will help authorities understand the competitive advantages of tourism in each location and draw up development strategies for urban and rural/town tourism based on the common value of stakeholders. This study also proposes new viewpoints and tourist highlights to help stakeholders identify the next generation for tourism in urban and rural areas.",SemanticScholar,FOUND
