Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 12-Sep-2026),Crossref citations (as of 12-Sep-2026),abstract,abstract_source,abstract_status
Business analytics and big data research in information systems,"Barbara Dinter, Christian Janiesch, Patrick Mikalef, Olgerta Tona",Journal of Business Analytics,5.0,1,p1 - p7,2022,10.1080/2573234x.2022.2069426,31-May-2022,https://doi.org/10.1080/2573234x.2022.2069426,10368.0,16.0,,,NOT_FOUND
Creating Strategic Business Value from Big Data Analytics: A Research Framework,"Roger H L Chiang, Varun Grover, Ting-Peng Liang, Dongsong Zhang",Journal of Management Information Systems,35.0,2,p388 - p423,2018,10.1080/07421222.2018.1451951,15-May-2018,https://doi.org/10.1080/07421222.2018.1451951,24179.0,760.0,,,NOT_FOUND
Managing customer knowledge through the use of big data analytics in tourism research,"Piera Centobelli, Valentina Ndou",Current Issues in Tourism,22.0,15,p1862 - p1882,2019,10.1080/13683500.2018.1564739,15-Jan-2019,https://doi.org/10.1080/13683500.2018.1564739,3121.0,85.0,"The use of big data is growing in relevance and importance in tourism management research. Companies operating in this industry are exploiting big data analytics and developing systems to manage customer knowledge and provide the best service in the right place at the right time. This paper aims to provide a systematic literature review to present issues associated with the use of big data in tourism and identify future research directions on the topic. To achieve this aim, this paper develops a citation network analysis methodology to drive the content analysis and explore the content of 109 selected papers. The findings of this review highlight that although there is an increasing number of contributions on the topic, there are yet some issues that require to be further developed. In particular, the paper identifies research gaps and consequent research questions that represent an agenda for both researchers and practitioners.",SemanticScholar,FOUND
Transformative role of big data through enabling capability recognition in construction,"Bernard Tuffour Atuahene, Thayaparan Gajendran, Sittimont Kanjanabootra",Construction Management and Economics,41.0,3,p208 - p231,2023,10.1080/01446193.2022.2132523,19-Oct-2022,https://doi.org/10.1080/01446193.2022.2132523,3858.0,18.0,"Big data application is a significant transformative driver of change in the retail, health, engineering, and advanced manufacturing sectors. Big data studies in construction are still somewhat limited, although there is increasing interest in what big data application could achieve. Through interviews with construction professionals, this paper identifies the capabilities needed in construction firms to enable the accrual of the potentially transformative benefits of big data application in construction. Based on previous studies, big data application capabilities, needed to transform construction processes, focussed on data, people, technology, and organisation. However, the findings of this research suggest a critical modification to that focus to include knowledge and the organisational environment along with people, data, and technology. The research findings show that construction firms use big data with a combination strategy to enable transformation by (a) driving an in-house data management policy to rolling-out the big data capabilities; (b) fostering collaborative capabilities with external firms for resource development, and (c) outsourcing big data services to address the capabilities deficits impacting digital transformation.",SemanticScholar,FOUND
Knowledge management in industry 4.0 environment for sustainable competitive advantage: a strategic framework,"Ayush Gupta, Sachin Kamble, Rajesh Kr Singh, Ruchi Mishra",Knowledge Management Research & Practice,20.0,6,p878 - p892,2022,10.1080/14778238.2022.2144512,14-Nov-2022,https://doi.org/10.1080/14778238.2022.2144512,1772.0,34.0,"Knowledge is an intangible asset that can increase employees’ and organisation’s effectiveness. Limited research has been done to upgrade existing knowledge management systems in the Industry 4.0 environment. Hence, this study identifies thirteen critical factors for developing a knowledge management system in Industry 4.0 environment. Interpretive Structural Modelling (ISM) is utilised to develop the structural relationships among these factors. Finally, fuzzy MICAMC is used to categorise the factors based on driving-dependence value. The results reveal the direct and indirect effects of these factors in developing a KM system in the digital age. Findings suggest that top management support, development of knowledge management strategy, knowledge friendly culture, creation and maintenance of digital infrastructure, and employees training are the major drivers for developing a KM system in Industry 4.0 environment. Organizations can use the proposed framework to prioritise their actions to develop a KM system in the Industry 4.0 environment.",SemanticScholar,FOUND
On the Convergence of Nanotechnology and Big Data Analysis for Computer-Aided Diagnosis,"Fernando V Paulovich, Jose F Jr Rodrigues, Maria CF de Oliveira, Osvaldo N Jr de Oliveira",Nanomedicine,11.0,8,p959 - p982,2016,10.2217/nnm.16.35,16-Mar-2016,https://doi.org/10.2217/nnm.16.35,451.0,32.0,,,NOT_FOUND
"Big data analytics in medical engineering and healthcare: methods, advances and challenges","Cheryl Ann Alexander, Lidong Wang",Journal of Medical Engineering & Technology,44.0,6,p267 - p283,2020,10.1080/03091902.2020.1769758,05-Jun-2020,https://doi.org/10.1080/03091902.2020.1769758,3094.0,107.0,"Big data analytics are gaining popularity in medical engineering and healthcare use cases. Stakeholders are finding big data analytics reduce medical costs and personalise medical services for each individual patient. Big data analytics can be used in large-scale genetics studies, public health, personalised and precision medicine, new drug development, etc. The introduction of the types, sources, and features of big data in healthcare as well as the applications and benefits of big data and big data analytics in healthcare is key to understanding healthcare big data and will be discussed in this article. Major methods, platforms and tools of big data analytics in medical engineering and healthcare are also presented. Advances and technology progress of big data analytics in healthcare are introduced, which includes artificial intelligence (AI) with big data, infrastructure and cloud computing, advanced computation and data processing, privacy and cybersecurity, health economic outcomes and technology management, and smart healthcare with sensing, wearable devices and Internet of things (IoT). Current challenges of dealing with big data and big data analytics in medical engineering and healthcare as well as future work are also presented.",SemanticScholar,FOUND
"Big Data, Chatbots, and Data Mining: Transforming Academic Libraries - A Bibliometric Analysis","Nur Ahmad, Shakil Ahmad, Sujin Butdiswan, Rupak Chakrabarty, Md Khairul Islam, Md Nurul Islam, Md Abdul Matin, Walton Wider",New Review of Academic Librarianship,32.0,1,p24 - p51,2026,10.1080/13614533.2025.2544531,21-Aug-2025,https://doi.org/10.1080/13614533.2025.2544531,551.0,4.0,"This bibliometric analysis investigates the integration of big data, chatbots, and data mining in academic libraries, aiming to understand current trends, regional disparities, and future implications. Using comprehensive bibliometric methods, the study analyzes publications and citations from 2014 to the present, highlighting the significant growth in research and application of these technologies. The findings reveal a substantial increase in research output, with China leading in publication volume, followed by the United States and other Asian countries. The study identifies the critical role of big data in enhancing operational efficiencies, chatbots in improving user interactions, and data mining in uncovering hidden trends. However, challenges such as the digital divide and data privacy concerns are prominent. The study concludes that while these technologies offer transformative potential, addressing infrastructural disparities and implementing robust data governance frameworks are essential. The implications for researchers, practitioners, policymakers, and academic institutions include promoting interdisciplinary research, enhancing digital literacy, and fostering international collaboration. Embracing these technologies can significantly improve the role of academic libraries as dynamic, user-centric centers of knowledge and learning, effectively meeting the evolving needs of their users in the digital age.",SemanticScholar,FOUND
Machine learning algorithms applied to intelligent tyre manufacturing,"Simone Massulini Acosta, Rodrigo Marcel Araujo Oliveira, Ângelo Márcio Oliveira Sant'Anna",International Journal of Computer Integrated Manufacturing,37.0,4,p497 - p507,2024,10.1080/0951192x.2023.2177734,10-Feb-2023,https://doi.org/10.1080/0951192x.2023.2177734,732.0,20.0,"Intelligent manufacturing is a way to expand industrial manufacturing by integrating artificial intelligence and device technologies to provide great solutions to solve complex problems and improve industrial processes. Artificial intelligence has been used in intelligent manufacturing for monitoring and optimization processes, focusing on improving efficiency. This paper examines the predictive performance of six machine learning algorithms for modeling tyre weight in smart tire manufacturing from real data. The main contribution of this research is developing a scheme solution that uses machine learning algorithms to industrial processes in stored data large manufacturing processes, allowing the process engineer to manage the finished products and the process parameters. The proposed relevance vector machine is compared with other algorithms such as support vector machine, artificial neural network, k-nearest neighbors, random forest, and model trees. RVM algorithm presented the smallest measures of squared error and better performance than the other algorithms. This novel approach accurately predicts tyre weight patterns during production using machine learning algorithms to analyze relevant features and detect anomalies based on predicted process data.",SemanticScholar,FOUND
Advancing manufacturing systems with big-data analytics: A conceptual framework,"Peter Butala, Dominik Kozjek, Nada Lavrač, Borut Rihtaršič, Rok Vrabič",International Journal of Computer Integrated Manufacturing,33.0,2,p169 - p188,2020,10.1080/0951192x.2020.1718765,03-Feb-2020,https://doi.org/10.1080/0951192x.2020.1718765,6769.0,44.0,"With the intensive development and implementation of information and communication technologies in manufacturing, large amounts of heterogeneous data are now being generated, gathered and stored. Handling large amounts of complex data – often referred to as big data – represents a challenge as there are many new approaches, methods, techniques, and tools for data analytics that open up new possibilities for exploiting data by converting them into useful information and/or knowledge. However, the application of advanced data analytics in manufacturing lags behind in terms of penetration and diversity in comparison with other domains such as marketing, healthcare and business, meaning that the available data often remain unexploited. This paper proposes a new conceptual framework for systematically introducing big-data analytics into manufacturing systems. To this end, the paper defines a new stepwise procedure that identifies what knowledge and skills, and which reference models, software and hardware tools, are needed for the development, implementation and operation of data-analytics solutions in manufacturing systems. The feasibility of the proposed conceptual framework is demonstrated in a case study from an engineer-to-order company and by mapping the framework to several previous data-analytics projects.",SemanticScholar,FOUND
